The GSE48466 mRNA expression profile dataset.;;;;;
ID;adj.P.Val;P.Value;logFC;Gene.symbol;Gene.title
231359_at;9,23E-10;1,69E-14;13,25279544;APOH;apolipoprotein H
231752_at;5,4E-09;2,32E-13;14,49055369;NPBWR1;neuropeptides B/W receptor 1
226757_at;3,46E-08;2,71E-12;5,38325838;IFIT2;interferon induced protein with tetratricopeptide repeats 2
210163_at;5,81E-08;6,38E-12;8,60331729;CXCL11;C-X-C motif chemokine ligand 11
227807_at;0,00000006;7,86E-12;2,64967251;PARP9;poly(ADP-ribose) polymerase family member 9
1554156_a_at;0,000000166;2,73E-11;12,16876741;WFDC8;WAP four-disulfide core domain 8
228607_at;0,000000259;5,64E-11;2,65381219;OAS2;2'-5'-oligoadenylate synthetase 2
AFFX-HUMISGF3A/M97935_MB_at;0,000000259;5,69E-11;2,72106002;STAT1;signal transducer and activator of transcription 1
213293_s_at;0,000000322;8,56E-11;1,63230795;TRIM22;tripartite motif containing 22
218400_at;0,000000322;8,85E-11;3,97690884;OAS3;2'-5'-oligoadenylate synthetase 3
228507_at;0,000000376;1,1E-10;9,21508961;PDE3A;phosphodiesterase 3A
204994_at;0,000000384;1,19E-10;4,6935657;MX2;MX dynamin like GTPase 2
202086_at;0,000000443;1,46E-10;4,21675013;MX1;MX dynamin like GTPase 1
224701_at;0,000000492;1,96E-10;1,92729494;PARP14;poly(ADP-ribose) polymerase family member 14
201649_at;0,000000492;2,05E-10;2,60482405;UBE2L6;ubiquitin conjugating enzyme E2 L6
203148_s_at;0,000000492;2,08E-10;1,90096697;TRIM14;tripartite motif containing 14
219352_at;0,000000492;2,19E-10;2,88802415;HERC6;HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
228152_s_at;0,000000492;2,2E-10;3,44299679;DDX60L;DEAD-box helicase 60-like
235510_at;0,000000492;2,22E-10;11,71468707;USHBP1;USH1 protein network component harmonin binding protein 1
201315_x_at;0,000000492;2,25E-10;3,06014458;IFITM2;interferon induced transmembrane protein 2
219684_at;0,000000545;2,69E-10;2,86210773;RTP4;receptor transporter protein 4
242872_at;0,000000595;3,16E-10;12,90528729;MIR1178///CIT;microRNA 1178///citron rho-interacting serine/threonine kinase
235813_at;0,000000595;3,23E-10;2,29054323;LOC101927027;uncharacterized LOC101927027
202446_s_at;0,000000595;3,46E-10;1,46334456;PLSCR1;phospholipid scramblase 1
203595_s_at;0,00000065;4E-10;1,91032957;IFIT5;interferon induced protein with tetratricopeptide repeats 5
214329_x_at;0,00000065;4,04E-10;1,48497122;TNFSF10;tumor necrosis factor superfamily member 10
204211_x_at;0,000000662;4,24E-10;1,82947125;EIF2AK2;eukaryotic translation initiation factor 2 alpha kinase 2
204533_at;0,000000677;4,46E-10;7,88122147;CXCL10;C-X-C motif chemokine ligand 10
224870_at;0,000000792;5,57E-10;-2,25187001;DANCR;differentiation antagonizing non-protein coding RNA
242961_x_at;0,000000792;5,73E-10;3,87239172;DDX58;DEXD/H-box helicase 58
225931_s_at;0,000000792;6,17E-10;2,12071437;RNF213;ring finger protein 213
205055_at;0,000000792;6,17E-10;-1,61166855;ITGAE;integrin subunit alpha E
214453_s_at;0,000000792;6,31E-10;3,03944323;IFI44;interferon induced protein 44
225415_at;0,000000792;6,37E-10;1,98760864;DTX3L;deltex E3 ubiquitin ligase 3L
204747_at;0,00000081;6,82E-10;4,85230466;IFIT3;interferon induced protein with tetratricopeptide repeats 3
217933_s_at;0,000000844;7,34E-10;1,62048583;LAP3;leucine aminopeptidase 3
225895_at;0,000000844;7,41E-10;1,64501841;SYNPO2;synaptopodin 2
218986_s_at;0,000000995;8,92E-10;2,72861841;DDX60;DEXD/H-box helicase 60
202270_at;0,00000102;9,29E-10;3,09860651;GBP1;guanylate binding protein 1
223501_at;0,00000102;9,57E-10;6,64336204;TNFSF13B;tumor necrosis factor superfamily member 13b
220478_at;0,00000102;9,74E-10;10,22353076;APOL5;apolipoprotein L5
219863_at;0,00000119;1,19E-09;4,99237781;HERC5;HECT and RLD domain containing E3 ubiquitin protein ligase 5
207374_at;0,00000141;1,47E-09;2,05878622;PLSCR2;phospholipid scramblase 2
223298_s_at;0,00000163;1,82E-09;2,89882293;NT5C3A;5'-nucleotidase, cytosolic IIIA
204820_s_at;0,00000168;1,93E-09;1,53966483;BTN3A2///BTN3A3;butyrophilin subfamily 3 member A2///butyrophilin subfamily 3 member A3
204698_at;0,00000168;1,93E-09;3,80460997;ISG20;interferon stimulated exonuclease gene 20
241247_at;0,00000169;2,05E-09;3,13877304;LINC01213;long intergenic non-protein coding RNA 1213
219209_at;0,00000169;2,06E-09;3,4870255;IFIH1;interferon induced with helicase C domain 1
235276_at;0,00000169;2,07E-09;4,63955565;EPSTI1;epithelial stromal interaction 1 (breast)
1553555_at;0,00000169;2,08E-09;3,08682289;TAS2R38;taste 2 receptor member 38
224225_s_at;0,00000187;2,45E-09;4,55444157;ETV7;ETS variant 7
206140_at;0,00000187;2,49E-09;2,92438399;LHX2;LIM homeobox 2
208075_s_at;0,00000187;2,5E-09;2,38171212;CCL7;C-C motif chemokine ligand 7
225710_at;0,00000189;2,56E-09;1,23994913;GNB4;G protein subunit beta 4
222986_s_at;0,00000191;2,65E-09;1,30984437;SHISA5;shisa family member 5
1554201_at;0,00000191;2,69E-09;3,3222012;CABP4;calcium binding protein 4
212613_at;0,00000191;2,73E-09;1,39032871;BTN3A2;butyrophilin subfamily 3 member A2
204326_x_at;0,00000191;2,74E-09;1,32619959;MT1X;metallothionein 1X
226773_at;0,00000197;2,9E-09;2,1604964;PPM1K;protein phosphatase, Mg2+/Mn2+ dependent 1K
227552_at;0,00000197;2,92E-09;2,60357495;42614;septin 1
201641_at;0,00000217;3,28E-09;4,35865116;BST2;bone marrow stromal cell antigen 2
203964_at;0,00000217;3,29E-09;2,15452598;NMI;N-myc and STAT interactor
232456_at;0,00000227;3,53E-09;2,03659199;C10orf71;chromosome 10 open reading frame 71
242625_at;0,00000228;3,59E-09;5,37994376;RSAD2;radical S-adenosyl methionine domain containing 2
201786_s_at;0,00000229;3,65E-09;1,34431093;ADAR;adenosine deaminase, RNA specific
216409_at;0,00000233;3,76E-09;3,65917203;ACSL6;acyl-CoA synthetase long-chain family member 6
202863_at;0,00000237;3,86E-09;1,72980833;SP100;SP100 nuclear antigen
219211_at;0,00000247;4,15E-09;3,95994766;USP18;ubiquitin specific peptidase 18
234324_at;0,00000264;4,55E-09;3,91280972;NHSL1;NHS like 1
220085_at;0,00000265;4,65E-09;-3,63501608;HELLS;helicase, lymphoid-specific
214186_s_at;0,00000265;4,67E-09;1,48591181;HCG26;HLA complex group 26 (non-protein coding)
1559658_at;0,00000265;4,71E-09;11,95176727;KATNBL1;katanin regulatory subunit B1 like 1
208012_x_at;0,00000268;4,8E-09;2,88141362;SP110;SP110 nuclear body protein
211331_x_at;0,00000279;5,11E-09;2,44701842;HFE;hemochromatosis
200923_at;0,00000298;5,51E-09;1,7515508;LGALS3BP;galectin 3 binding protein
212203_x_at;0,00000313;5,89E-09;2,16332806;IFITM3;interferon induced transmembrane protein 3
206708_at;0,00000314;6,02E-09;2,28862083;FOXN2;forkhead box N2
203157_s_at;0,0000032;6,21E-09;-1,02772017;GLS;glutaminase
226603_at;0,00000324;6,33E-09;3,90866809;SAMD9L;sterile alpha motif domain containing 9 like
215524_x_at;0,00000356;7,15E-09;8,11564273;MGC40069///TRAC///TRAJ17///TRAV20///TRDV2///YME1L1;uncharacterized protein MGC40069///T-cell receptor alpha constant///T cell receptor alpha joining 17///T cell receptor alpha variable 20///T cell receptor delta variable 2///YME1 like 1 ATPase
1560128_x_at;0,00000395;8,25E-09;1,66805806;C5orf56;chromosome 5 open reading frame 56
210029_at;0,000004;8,51E-09;4,0410313;IDO1;indoleamine 2,3-dioxygenase 1
225636_at;0,000004;8,67E-09;1,97096796;STAT2;signal transducer and activator of transcription 2
229350_x_at;0,000004;8,68E-09;2,35146954;PARP10;poly(ADP-ribose) polymerase family member 10
237659_at;0,000004;8,71E-09;2,4976361;FLJ40288;uncharacterized FLJ40288
226702_at;0,000004;8,75E-09;4,06107953;CMPK2;cytidine/uridine monophosphate kinase 2
1567035_at;0,000004;8,79E-09;3,92711055;C20orf181;chromosome 20 open reading frame 181
204187_at;0,00000401;8,92E-09;5,97735928;GMPR;guanosine monophosphate reductase
204205_at;0,00000401;9,01E-09;2,89329766;APOBEC3G;apolipoprotein B mRNA editing enzyme catalytic subunit 3G
218543_s_at;0,00000412;9,48E-09;2,58548796;PARP12;poly(ADP-ribose) polymerase family member 12
215388_s_at;0,00000412;9,49E-09;1,07333604;CFHR1///CFH;complement factor H related 1///complement factor H
203153_at;0,00000412;9,49E-09;4,76663669;IFIT1;interferon induced protein with tetratricopeptide repeats 1
201601_x_at;0,0000042;9,9E-09;4,65986734;IFITM2///IFITM1;interferon induced transmembrane protein 2///interferon induced transmembrane protein 1
225973_at;0,00000425;1,02E-08;2,63858383;TAP2;transporter 2, ATP binding cassette subfamily B member
205569_at;0,00000426;1,03E-08;3,19827482;LAMP3;lysosomal associated membrane protein 3
1553373_at;0,00000442;1,08E-08;4,57708858;WDR64;WD repeat domain 64
235079_at;0,0000047;1,15E-08;-2,89582325;ZNF704;zinc finger protein 704
205552_s_at;0,00000482;1,19E-08;3,47184031;OAS1;2'-5'-oligoadenylate synthetase 1
206910_x_at;0,00000482;0,000000012;1,42115201;CFHR2;complement factor H related 2
234695_x_at;0,00000491;1,23E-08;1,74362813;NUTM2B;NUT family member 2B
205275_at;0,00000493;1,24E-08;4,06980453;GTPBP1;GTP binding protein 1
210797_s_at;0,00000525;1,33E-08;7,09988479;OASL;2'-5'-oligoadenylate synthetase like
209770_at;0,00000538;1,39E-08;1,97355658;BTN3A1;butyrophilin subfamily 3 member A1
1557236_at;0,00000541;1,41E-08;1,66806651;APOL6;apolipoprotein L6
230940_at;0,00000541;1,43E-08;3,25999171;LOC100288123;uncharacterized LOC100288123
218322_s_at;0,00000546;1,47E-08;1,05545429;ACSL5;acyl-CoA synthetase long-chain family member 5
209040_s_at;0,00000566;1,54E-08;1,74111177;PSMB8;proteasome subunit beta 8
236758_at;0,00000577;1,58E-08;13,34260066;LOC100132304///LINC00684;long intergenic non-protein coding RNA 684///long intergenic non-protein coding RNA 684
235175_at;0,00000577;1,59E-08;4,50908345;GBP4;guanylate binding protein 4
225814_at;0,00000578;1,61E-08;1,53672193;XRN1;5'-3' exoribonuclease 1
233164_x_at;0,00000584;1,63E-08;2,83733416;RHBDD1;rhomboid domain containing 1
209848_s_at;0,00000587;1,68E-08;1,4785943;PMEL;premelanosome protein
203882_at;0,00000587;1,68E-08;1,64038428;IRF9;interferon regulatory factor 9
207875_at;0,0000062;1,79E-08;11,04532877;DKK3;dickkopf WNT signaling pathway inhibitor 3
228617_at;0,00000656;1,91E-08;3,89914819;XAF1;XIAP associated factor 1
219364_at;0,00000657;1,92E-08;2,50510048;DHX58;DEXH-box helicase 58
217652_at;0,00000669;1,98E-08;2,37406745;MAU2;MAU2 sister chromatid cohesion factor
209417_s_at;0,00000682;2,03E-08;4,0291678;IFI35;interferon induced protein 35
242667_at;0,00000682;2,05E-08;1,82652292;TLR3;toll like receptor 3
204821_at;0,00000692;0,000000021;2,28471884;BTN3A3;butyrophilin subfamily 3 member A3
216959_x_at;0,00000703;2,15E-08;4,07372007;NRCAM;neuronal cell adhesion molecule
205483_s_at;0,00000713;2,19E-08;4,49164427;ISG15;ISG15 ubiquitin-like modifier
229282_at;0,00000727;2,25E-08;2,56160317;GATA6;GATA binding protein 6
204415_at;0,00000728;2,26E-08;2,7733003;IFI6;interferon alpha inducible protein 6
1553728_at;0,00000732;2,29E-08;1,86989376;LRRC43;leucine rich repeat containing 43
228531_at;0,00000756;2,38E-08;2,44667174;SAMD9;sterile alpha motif domain containing 9
234334_s_at;0,00000904;2,89E-08;2,3374033;LAMB4;laminin subunit beta 4
204279_at;0,00000917;2,95E-08;2,44542131;PSMB9;proteasome subunit beta 9
240083_at;0,0000096;3,12E-08;9,99702847;SNORD112///MEG8;small nucleolar RNA, C/D box 112///maternally expressed 8 (non-protein coding)
208087_s_at;0,00001;3,34E-08;12,73656513;ZBP1;Z-DNA binding protein 1
1556261_a_at;0,00001;3,36E-08;13,00463343;LOC105378732;uncharacterized LOC105378732
228230_at;0,0000102;3,43E-08;2,9569725;HELZ2;helicase with zinc finger 2
229893_at;0,0000111;3,77E-08;4,3671935;FRMD3;FERM domain containing 3
237257_at;0,0000115;3,97E-08;1,64495186;RAB4B;RAB4B, member RAS oncogene family
202073_at;0,0000118;0,000000041;1,62360819;OPTN;optineurin
239582_at;0,0000123;4,28E-08;2,77429462;PML;promyelocytic leukemia
236060_at;0,0000125;4,43E-08;1,18993272;METTL14;methyltransferase like 14
238473_at;0,0000127;4,51E-08;2,27262876;KMT2E-AS1;KMT2E antisense RNA 1 (head to head)
224806_at;0,0000128;0,000000046;1,17018229;TRIM25;tripartite motif containing 25
212185_x_at;0,0000128;0,000000046;1,33309736;MT2A;metallothionein 2A
